Gene names,organelle,source,name,RNA_tpm,protein_nM,Itzhak_annotation,Gingras_annotation_concordant,Gingras_annotation_NMF,Gingras_annotation_SAFE,Uniprot_curation,GO_cellular_compartment
ACADVL,mitochondria,MitoCarta 3.0 score >20,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",99.75637357,111.5825182,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion inner membrane {ECO:0000269|PubMed:9461620, ECO:0000269|PubMed:9599005}; Peripheral membrane protein {ECO:0000269|PubMed:9599005}.; [Isoform 2]: Mitochondrion inner membrane {ECO:0000269|PubMed:17374501}; Peripheral membrane protein {ECO:0000269|PubMed:17374501}.",extrinsic component of mitochondrial inner membrane [GO:0031314]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]
ACAT1,mitochondria,MitoCarta 3.0 score >20,"Acetyl-CoA acetyltransferase, mitochondrial",104.842344,2213.421994,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion {ECO:0000269|PubMed:1979337}.,extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
ACO2,mitochondria,MitoCarta 3.0 score >20,"Aconitate hydratase, mitochondrial",80.543242,1127.305103,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion {ECO:0000250|UniProtKB:P16276}.,cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
ACSF3,mitochondria,MitoCarta 3.0 score >20,"Malonate--CoA ligase ACSF3, mitochondrial",26.11560464,71.59201075,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion {ECO:0000269|PubMed:21841779, ECO:0000269|PubMed:21846720}.",mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
ADCK5,mitochondria,MitoCarta 3.0 score >20,Uncharacterized aarF domain-containing protein kinase 5,6.0163806,0.19770326,,NA,NA,NA,Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.,integral component of membrane [GO:0016021]
ADHFE1,mitochondria,MitoCarta 3.0 score >20,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial",1.117870967,NA,NA,NA,NA,NA,Mitochondrion {ECO:0000250}.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
AFG1L,mitochondria,MitoCarta 3.0 score >20,AFG1-like ATPase,5.766306667,10.96673895,NA,NA,NA,NA,Mitochondrion membrane {ECO:0000269|PubMed:26759378}.,cytoplasm [GO:0005737]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
AFG3L2,mitochondria,MitoCarta 3.0 score >20,AFG3-like protein 2,71.18984067,226.2064817,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion {ECO:0000269|PubMed:10395799, ECO:0000269|PubMed:22354088}. Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q8JZQ2}; Multi-pass membrane protein {ECO:0000255}.",m-AAA complex [GO:0005745]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
AIFM1,mitochondria,MitoCarta 3.0 score >20,"Apoptosis-inducing factor 1, mitochondrial",130.5201303,2595.412293,Mitochondrion,mitochondria,"mitochondrial inner membrane, mitochondrial intermembrane space","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion intermembrane space {ECO:0000269|PubMed:15775970, ECO:0000269|PubMed:24914854, ECO:0000269|PubMed:26004228}. Mitochondrion inner membrane. Cytoplasm {ECO:0000269|PubMed:15775970}. Nucleus {ECO:0000269|PubMed:15775970, ECO:0000269|PubMed:17094969}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:17094969}. Note=Proteolytic cleavage during or just after translocation into the mitochondrial intermembrane space (IMS) results in the formation of an inner-membrane-anchored mature form (AIFmit). During apoptosis, further proteolytic processing leads to a mature form, which is confined to the mitochondrial IMS in a soluble form (AIFsol). AIFsol is released to the cytoplasm in response to specific death signals, and translocated to the nucleus, where it induces nuclear apoptosis (PubMed:15775970). Colocalizes with EIF3G in the nucleus and perinuclear region (PubMed:17094969). {ECO:0000269|PubMed:15775970, ECO:0000269|PubMed:17094969}.; [Isoform 3]: Mitochondrion intermembrane space {ECO:0000269|PubMed:20111043}. Mitochondrion inner membrane {ECO:0000269|PubMed:20111043}. Note=Has a stronger membrane anchorage than isoform 1. {ECO:0000269|PubMed:20111043}.; [Isoform 4]: Mitochondrion {ECO:0000269|PubMed:16644725}. Cytoplasm, cytosol {ECO:0000269|PubMed:16644725}. Note=In pro-apoptotic conditions, is released from mitochondria to cytosol in a calpain/cathepsin-dependent manner. {ECO:0000269|PubMed:16644725}.; [Isoform 5]: Cytoplasm {ECO:0000269|PubMed:16365034}.",cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
AK3,mitochondria,MitoCarta 3.0 score >20,"GTP:AMP phosphotransferase AK3, mitochondrial",18.15142533,228.4265627,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion matrix {ECO:0000255|HAMAP-Rule:MF_03169, ECO:0000269|PubMed:11485571}.",cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
ALAS1,mitochondria,MitoCarta 3.0 score >20,"5-aminolevulinate synthase, nonspecific, mitochondrial",42.59939133,48.80895222,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion matrix.,cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]
ALDH2,mitochondria,MitoCarta 3.0 score >20,"Aldehyde dehydrogenase, mitochondrial",48.18073667,1024.729298,NA,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion matrix.,extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]
ALDH4A1,mitochondria,MitoCarta 3.0 score >20,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",15.17690933,98.68558934,Mitochondrion,NA,NA,NA,Mitochondrion matrix.,cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
ALDH6A1,mitochondria,MitoCarta 3.0 score >20,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",11.9523,175.8236303,Mitochondrion,NA,NA,NA,Mitochondrion.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]
ALDH9A1,mitochondria,MitoCarta 3.0 score >20,4-trimethylaminobutyraldehyde dehydrogenase,77.655631,1230.071972,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9JLJ3}.",cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]
ALKBH7,mitochondria,MitoCarta 3.0 score >20,"Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial",40.52743,48.48015557,,NA,NA,NA,Mitochondrion matrix {ECO:0000269|PubMed:23666923}.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
APOOL,mitochondria,MitoCarta 3.0 score >20,MICOS complex subunit MIC27,17.55049147,199.8950608,Mitochondrion,mitochondria,"mitochondrial inner membrane, mitochondrial intermembrane space","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion inner membrane {ECO:0000269|PubMed:23704930, ECO:0000269|PubMed:25764979}; Multi-pass membrane protein {ECO:0000269|PubMed:23704930}. Mitochondrion {ECO:0000269|PubMed:25781180, ECO:0000269|PubMed:25997101}.",extracellular region [GO:0005576]; MIB complex [GO:0140275]; MICOS complex [GO:0061617]; mitochondrion [GO:0005739]; platelet alpha granule lumen [GO:0031093]; SAM complex [GO:0001401]
ATP5F1A,mitochondria,MitoCarta 3.0 score >20,"ATP synthase subunit alpha, mitochondrial",418.3528689,3984.495804,NA,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion {ECO:0000269|PubMed:30146159}. Mitochondrion inner membrane {ECO:0000250|UniProtKB:P19483}; Peripheral membrane protein {ECO:0000250|UniProtKB:P19483}; Matrix side {ECO:0000250|UniProtKB:P19483}. Cell membrane {ECO:0000269|PubMed:10077593}; Peripheral membrane protein {ECO:0000269|PubMed:10077593}; Extracellular side {ECO:0000269|PubMed:10077593}. Note=Colocalizes with HRG on the cell surface of T-cells (PubMed:19285951). {ECO:0000269|PubMed:19285951}.,"extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex [GO:0045259]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]"
ATP5F1B,mitochondria,MitoCarta 3.0 score >20,"ATP synthase subunit beta, mitochondrial",885.8357983,6115.192291,NA,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion inner membrane {ECO:0000250|UniProtKB:P00829}; Peripheral membrane protein {ECO:0000250|UniProtKB:P00829}; Matrix side {ECO:0000250|UniProtKB:P00829}.,"cell surface [GO:0009986]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrial nucleoid [GO:0042645]; mitochondrial proton-transporting ATP synthase, catalytic core [GO:0005754]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex [GO:0045259]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]"
ATP5F1C,mitochondria,MitoCarta 3.0 score >20,"ATP synthase subunit gamma, mitochondrial",271.9369937,1965.548157,NA,NA,mitochondrial matrix,no prediction,Mitochondrion inner membrane {ECO:0000250|UniProtKB:P05631}; Peripheral membrane protein {ECO:0000250|UniProtKB:P05631}; Matrix side {ECO:0000250|UniProtKB:P05631}.,"membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [GO:0000275]; mitochondrion [GO:0005739]"
ATP5F1D,mitochondria,MitoCarta 3.0 score >20,"ATP synthase subunit delta, mitochondrial",207.2914437,3312.377622,NA,NA,NA,NA,Mitochondrion. Mitochondrion inner membrane.,"mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [GO:0000275]; mitochondrion [GO:0005739]"
ATP5F1E,mitochondria,MitoCarta 3.0 score >20,"ATP synthase subunit epsilon, mitochondrial",52.31130733,NA,NA,NA,NA,NA,Mitochondrion. Mitochondrion inner membrane.,"mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [GO:0000275]"
ATP5IF1,mitochondria,MitoCarta 3.0 score >20,"ATPase inhibitor, mitochondrial",763.639326,27.07876565,NA,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion {ECO:0000269|PubMed:12110673}.,cell surface [GO:0009986]; mitochondrion [GO:0005739]; protein-containing complex [GO:0032991]
ATP5ME,mitochondria,MitoCarta 3.0 score >20,"ATP synthase subunit e, mitochondrial",735.8290643,1610.146847,NA,mitochondria,"mitochondrial inner membrane, mitochondrial intermembrane space","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion. Mitochondrion inner membrane.,"mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]"
ATP5PB,mitochondria,MitoCarta 3.0 score >20,"ATP synthase F(0) complex subunit B1, mitochondrial",565.9789967,1279.524532,NA,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion. Mitochondrion inner membrane.,"membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]"
ATP5PF,mitochondria,MitoCarta 3.0 score >20,"ATP synthase-coupling factor 6, mitochondrial",340.7496703,2225.19138,NA,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion. Mitochondrion inner membrane.,"mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrion [GO:0005739]"
ATP5PO,mitochondria,MitoCarta 3.0 score >20,"ATP synthase subunit O, mitochondrial",407.758823,2389.045421,NA,NA,ER lumen,-,Mitochondrion {ECO:0000250}. Mitochondrion inner membrane {ECO:0000250}.,"mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase, stator stalk [GO:0000274]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]"
ATPAF2,mitochondria,MitoCarta 3.0 score >20,ATP synthase mitochondrial F1 complex assembly factor 2,36.00651641,95.78438972,Mitochondrion,NA,NA,NA,Mitochondrion {ECO:0000305}.,cytosol [GO:0005829]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]
AUH,mitochondria,MitoCarta 3.0 score >20,"Methylglutaconyl-CoA hydratase, mitochondrial",15.63318367,27.29937983,Mitochondrion,NA,NA,NA,Mitochondrion {ECO:0000250|UniProtKB:Q9JLZ3}.,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
BCKDHA,mitochondria,MitoCarta 3.0 score >20,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",27.86251967,193.6908204,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion matrix.,mitochondrial alpha-ketoglutarate dehydrogenase complex [GO:0005947]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
BCKDHB,mitochondria,MitoCarta 3.0 score >20,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",12.82824533,107.2564482,Mitochondrion,NA,NA,NA,Mitochondrion matrix.,mitochondrial alpha-ketoglutarate dehydrogenase complex [GO:0005947]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]
BCKDK,mitochondria,MitoCarta 3.0 score >20,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",65.960118,189.3390204,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix",Mitochondrion matrix. Mitochondrion {ECO:0000269|PubMed:24449431}.,mitochondrial alpha-ketoglutarate dehydrogenase complex [GO:0005947]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
BCS1L,mitochondria,MitoCarta 3.0 score >20,Mitochondrial chaperone BCS1,104.4640015,140.7948919,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion inner membrane {ECO:0000269|PubMed:18628306, ECO:0000269|PubMed:9878253}; Single-pass membrane protein {ECO:0000269|PubMed:18628306, ECO:0000269|PubMed:9878253}.",integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739]
BDH1,mitochondria,MitoCarta 3.0 score >20,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",8.7894271,17.23675214,NA,NA,NA,NA,Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q02337}. Mitochondrion matrix {ECO:0000250|UniProtKB:Q02337}.,matrix side of mitochondrial inner membrane [GO:0099617]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
BPHL,mitochondria,MitoCarta 3.0 score >20,Valacyclovir hydrolase,28.913094,138.348691,Mitochondrion,NA,NA,NA,,mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
C1QBP,mitochondria,MitoCarta 3.0 score >20,"Complement component 1 Q subcomponent-binding protein, mitochondrial",809.6454033,3415.425882,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion matrix {ECO:0000269|PubMed:15031724, ECO:0000269|PubMed:17486078, ECO:0000269|PubMed:19164550, ECO:0000269|PubMed:9305894}. Nucleus {ECO:0000269|PubMed:18676636}. Cell membrane {ECO:0000269|PubMed:10747014, ECO:0000269|PubMed:11493647, ECO:0000269|PubMed:12574814, ECO:0000269|PubMed:8195709, ECO:0000269|PubMed:8662673, ECO:0000269|PubMed:9191880, ECO:0000269|PubMed:9233640}; Peripheral membrane protein {ECO:0000269|PubMed:12574814, ECO:0000269|PubMed:8662673, ECO:0000269|PubMed:9191880}; Extracellular side. Secreted. Cytoplasm {ECO:0000269|PubMed:11493647}. Nucleus, nucleolus {ECO:0000269|PubMed:21536856}. Note=Seems to be predominantly localized to mitochondria. Secreted by activated lymphocytes.",cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; presynaptic active zone [GO:0048786]
C6orf136,mitochondria,MitoCarta 3.0 score >20,Uncharacterized protein C6orf136,19.5347944,NA,,NA,NA,NA,,
CBR4,mitochondria,MitoCarta 3.0 score >20,3-oxoacyl-[acyl-carrier-protein] reductase,22.1159427,106.3183957,Mitochondrion,NA,NA,NA,"Mitochondrion matrix {ECO:0000269|PubMed:19000905, ECO:0000269|PubMed:19571038}.",mitochondrial matrix [GO:0005759]; oxidoreductase complex [GO:1990204]
CCDC90B,mitochondria,MitoCarta 3.0 score >20,"Coiled-coil domain-containing protein 90B, mitochondrial",29.96899081,48.58552905,Mitochondrion,NA,NA,NA,Mitochondrion membrane {ECO:0000269|PubMed:11256614}; Single-pass membrane protein {ECO:0000255}.,integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]
CHCHD10,mitochondria,MitoCarta 3.0 score >20,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",489.0039467,250.557727,,NA,NA,NA,Mitochondrion intermembrane space {ECO:0000269|PubMed:24934289}. Note=Enriched at the cristae junctions. {ECO:0000269|PubMed:24934289}.,MICOS complex [GO:0061617]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
CHCHD3,mitochondria,MitoCarta 3.0 score >20,MICOS complex subunit MIC19,124.2959017,1154.666647,Mitochondrion,mitochondria,"mitochondrial inner membrane, mitochondrial intermembrane space","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q9CRB9}; Lipid-anchor {ECO:0000305}; Intermembrane side {ECO:0000250|UniProtKB:Q9CRB9}. Cytoplasm {ECO:0000269|PubMed:22567091}. Nucleus {ECO:0000269|PubMed:22567091}. Mitochondrion {ECO:0000269|PubMed:25781180, ECO:0000269|PubMed:25997101}.",extracellular exosome [GO:0070062]; MIB complex [GO:0140275]; MICOS complex [GO:0061617]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; SAM complex [GO:0001401]
CLPB,mitochondria,MitoCarta 3.0 score >20,Caseinolytic peptidase B protein homolog,41.8767071,502.4180579,Mitochondrion,mitochondria,"mitochondrial inner membrane, mitochondrial intermembrane space","mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion intermembrane space {ECO:0000269|PubMed:25597510, ECO:0000269|PubMed:31522117}.",cytoplasm [GO:0005737]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]
CLPP,mitochondria,MitoCarta 3.0 score >20,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",128.7348527,390.8810517,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion matrix {ECO:0000269|PubMed:10525407, ECO:0000269|PubMed:22354088}.",endopeptidase Clp complex [GO:0009368]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
CLPX,mitochondria,MitoCarta 3.0 score >20,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",36.535063,343.262041,Mitochondrion,mitochondria,mitochondrial matrix,"mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix","Mitochondrion. Mitochondrion matrix, mitochondrion nucleoid.",cytosol [GO:0005829]; endopeptidase Clp complex [GO:0009368]; mitochondrial endopeptidase Clp complex [GO:0009841]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]
CMC1,mitochondria,MitoCarta 3.0 score >20,COX assembly mitochondrial protein homolog,39.213115,241.3739239,Mitochondrion,NA,NA,NA,"Mitochondrion {ECO:0000269|PubMed:18443040, ECO:0000269|PubMed:23676665}. Note=Colocalizes with MT-CO1.",mitochondrion [GO:0005739]
CMC2,mitochondria,MitoCarta 3.0 score >20,COX assembly mitochondrial protein 2 homolog,101.183114,146.5581192,Golgi,NA,NA,NA,Mitochondrion {ECO:0000269|PubMed:20220131}.,mitochondrion [GO:0005739]
COA6,mitochondria,MitoCarta 3.0 score >20,Cytochrome c oxidase assembly factor 6 homolog,149.39639,241.9490575,Mitochondrion,NA,NA,NA,"Mitochondrion intermembrane space {ECO:0000269|PubMed:25339201, ECO:0000269|PubMed:25959673}.",mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; respiratory chain complex IV [GO:0045277]
COQ10A,mitochondria,MitoCarta 3.0 score >20,"Coenzyme Q-binding protein COQ10 homolog A, mitochondrial",20.37065433,NA,NA,NA,NA,NA,Mitochondrion inner membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Matrix side {ECO:0000250}.,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
